date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:24	57515/57515	---M-Z	200	added ('OK')	text/html	etag:%22e0ab-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-cards.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-cards.html	(from https://mannatthemes.com/dastone/default/)
14:56:24	47443/47443	---M-Z	200	added ('OK')	text/html	etag:%22b953-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-carousels.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-carousels.html	(from https://mannatthemes.com/dastone/default/)
14:56:24	63115/63115	---M-Z	200	added ('OK')	text/html	etag:%22f68b-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-check-radio.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-check-radio.html	(from https://mannatthemes.com/dastone/default/)
14:56:25	95383/95383	---M-Z	200	added ('OK')	text/html	etag:%2217497-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-dropdowns.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-dropdowns.html	(from https://mannatthemes.com/dastone/default/)
14:56:25	53961/53961	---M-Z	200	added ('OK')	text/html	etag:%22d2c9-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-grids.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-grids.html	(from https://mannatthemes.com/dastone/default/)
14:56:26	40853/40853	---M-Z	200	added ('OK')	text/html	etag:%229f95-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-images.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-images.html	(from https://mannatthemes.com/dastone/default/)
14:56:26	47879/47879	---M-Z	200	added ('OK')	text/html	etag:%22bb07-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-list.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-list.html	(from https://mannatthemes.com/dastone/default/)
14:56:27	131735/131735	---M-Z	200	added ('OK')	text/html	etag:%2220297-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-modals.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-modals.html	(from https://mannatthemes.com/dastone/default/)
14:56:27	44503/44503	---M-Z	200	added ('OK')	text/html	etag:%22add7-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-navs.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-navs.html	(from https://mannatthemes.com/dastone/default/)
14:56:27	58229/58229	---M-Z	200	added ('OK')	text/html	etag:%22e375-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-navbar.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-navbar.html	(from https://mannatthemes.com/dastone/default/)
14:56:27	44677/44677	---M-Z	200	added ('OK')	text/html	etag:%22ae85-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-offcanvas.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-offcanvas.html	(from https://mannatthemes.com/dastone/default/)
14:56:28	46511/46511	---M-Z	200	added ('OK')	text/html	etag:%22b5af-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-paginations.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-paginations.html	(from https://mannatthemes.com/dastone/default/)
14:56:28	51724/51724	---M-Z	200	added ('OK')	text/html	etag:%22ca0c-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-popover-tooltips.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-popover-tooltips.html	(from https://mannatthemes.com/dastone/default/)
14:56:28	47883/47883	---M-Z	200	added ('OK')	text/html	etag:%22bb0b-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-progress.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-progress.html	(from https://mannatthemes.com/dastone/default/)
14:56:28	49248/49248	---M-Z	200	added ('OK')	text/html	etag:%22c060-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-spinners.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-spinners.html	(from https://mannatthemes.com/dastone/default/)
14:56:29	61282/61282	---M-Z	200	added ('OK')	text/html	etag:%22ef62-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-tabs-accordions.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-tabs-accordions.html	(from https://mannatthemes.com/dastone/default/)
14:56:29	53485/53485	---M-Z	200	added ('OK')	text/html	etag:%22d0ed-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-typography.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-typography.html	(from https://mannatthemes.com/dastone/default/)
14:56:29	48452/48452	---M-Z	200	added ('OK')	text/html	etag:%22bd44-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-toasts.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-toasts.html	(from https://mannatthemes.com/dastone/default/)
14:56:29	37136/37136	---M-Z	200	added ('OK')	text/html	etag:%229110-5e039961ea417-gzip%22	https://mannatthemes.com/dastone/default/ui-videos.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-videos.html	(from https://mannatthemes.com/dastone/default/)
14:56:29	51631/51631	---M-Z	200	added ('OK')	text/html	etag:%22c9af-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-animation.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-animation.html	(from https://mannatthemes.com/dastone/default/)
14:56:30	37434/37434	---M-Z	200	added ('OK')	text/html	etag:%22923a-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-clipboard.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-clipboard.html	(from https://mannatthemes.com/dastone/default/)
14:56:30	35319/35319	---M-Z	200	added ('OK')	text/html	etag:%2289f7-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-highlight.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-highlight.html	(from https://mannatthemes.com/dastone/default/)
14:56:30	36628/36628	---M-Z	200	added ('OK')	text/html	etag:%228f14-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-idle-timer.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-idle-timer.html	(from https://mannatthemes.com/dastone/default/)
14:56:30	134397/134397	---M-Z	200	added ('OK')	text/html	etag:%2220cfd-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-kanban.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-kanban.html	(from https://mannatthemes.com/dastone/default/)
14:56:31	37108/37108	---M-Z	200	added ('OK')	text/html	etag:%2290f4-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-lightbox.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-lightbox.html	(from https://mannatthemes.com/dastone/default/)
14:56:31	45320/45320	---M-Z	200	added ('OK')	text/html	etag:%22b108-5e039961e07d7-gzip%22	https://mannatthemes.com/dastone/default/advanced-nestable.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-nestable.html	(from https://mannatthemes.com/dastone/default/)
14:56:31	39757/39757	---M-Z	200	added ('OK')	text/html	etag:%229b4d-5e039961e1777-gzip%22	https://mannatthemes.com/dastone/default/advanced-rangeslider.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-rangeslider.html	(from https://mannatthemes.com/dastone/default/)
14:56:31	44211/44211	---M-Z	200	added ('OK')	text/html	etag:%22acb3-5e039961e1777-gzip%22	https://mannatthemes.com/dastone/default/advanced-ratings.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-ratings.html	(from https://mannatthemes.com/dastone/default/)
14:56:32	48331/48331	---M-Z	200	added ('OK')	text/html	etag:%22bccb-5e039961e1777-gzip%22	https://mannatthemes.com/dastone/default/advanced-ribbons.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-ribbons.html	(from https://mannatthemes.com/dastone/default/)
14:56:32	35687/35687	---M-Z	200	added ('OK')	text/html	etag:%228b67-5e039961e1777-gzip%22	https://mannatthemes.com/dastone/default/advanced-session.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-session.html	(from https://mannatthemes.com/dastone/default/)
14:56:32	42726/42726	---M-Z	200	added ('OK')	text/html	etag:%22a6e6-5e039961e1777-gzip%22	https://mannatthemes.com/dastone/default/advanced-sweetalerts.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/advanced-sweetalerts.html	(from https://mannatthemes.com/dastone/default/)
14:56:32	61119/61119	---M-Z	200	added ('OK')	text/html	etag:%22eebf-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-advanced.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-advanced.html	(from https://mannatthemes.com/dastone/default/)
14:56:32	96676/96676	---M-Z	200	added ('OK')	text/html	etag:%22179a4-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-elements.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-elements.html	(from https://mannatthemes.com/dastone/default/)
14:56:33	34463/34463	---M-Z	200	added ('OK')	text/html	etag:%22869f-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-editors.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-editors.html	(from https://mannatthemes.com/dastone/default/)
14:56:33	36474/36474	---M-Z	200	added ('OK')	text/html	etag:%228e7a-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-uploads.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-uploads.html	(from https://mannatthemes.com/dastone/default/)
14:56:33	52185/52185	---M-Z	200	added ('OK')	text/html	etag:%22cbd9-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-repeater.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-repeater.html	(from https://mannatthemes.com/dastone/default/)
14:56:33	56222/56222	---M-Z	200	added ('OK')	text/html	etag:%22db9e-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-validation.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-validation.html	(from https://mannatthemes.com/dastone/default/)
14:56:34	59889/59889	---M-Z	200	added ('OK')	text/html	etag:%22e9f1-5e039961e55f7-gzip%22	https://mannatthemes.com/dastone/default/forms-wizard.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-wizard.html	(from https://mannatthemes.com/dastone/default/)
14:56:34	37816/37816	---M-Z	200	added ('OK')	text/html	etag:%2293b8-5e039961e6597-gzip%22	https://mannatthemes.com/dastone/default/forms-x-editable.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/forms-x-editable.html	(from https://mannatthemes.com/dastone/default/)
14:56:34	48005/48005	---M-Z	200	added ('OK')	text/html	etag:%22bb85-5e039961e4657-gzip%22	https://mannatthemes.com/dastone/default/charts-apex.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/charts-apex.html	(from https://mannatthemes.com/dastone/default/)
14:56:34	39467/39467	---M-Z	200	added ('OK')	text/html	etag:%229a2b-5e039961e4657-gzip%22	https://mannatthemes.com/dastone/default/charts-chartjs.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/charts-chartjs.html	(from https://mannatthemes.com/dastone/default/)
14:56:35	39404/39404	---M-Z	200	added ('OK')	text/html	etag:%2299ec-5e039961e4657-gzip%22	https://mannatthemes.com/dastone/default/charts-flot.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/charts-flot.html	(from https://mannatthemes.com/dastone/default/)
14:56:35	37303/37303	---M-Z	200	added ('OK')	text/html	etag:%2291b7-5e039961e4657-gzip%22	https://mannatthemes.com/dastone/default/charts-morris.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/charts-morris.html	(from https://mannatthemes.com/dastone/default/)
14:56:35	75473/75473	---M-Z	200	added ('OK')	text/html	etag:%22126d1-5e039961e84d7-gzip%22	https://mannatthemes.com/dastone/default/tables-basic.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/tables-basic.html	(from https://mannatthemes.com/dastone/default/)
